filename,pneumonia_score,predicted_label,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia,Lung Lesion,Fracture,Lung Opacity,Enlarged Cardiomediastinum
0000.png,0.92350006,pneumonia,0.5294639,0.5050856,0.502005,0.58995557,0.003856523,0.14599466,0.11439482,0.2665001,0.0008388577,0.06944175,0.5147917,0.3726848,0.5162418,0.014471021,0.12727067,0.5048752,0.92350006,0.505784
0001.png,0.90045285,pneumonia,0.28087863,0.30917457,0.39698234,0.5500003,0.0010522192,0.12302158,0.059560865,0.07835105,0.0006106809,0.021839797,0.4119093,0.30622897,0.5234902,0.0046493323,0.21223395,0.18761718,0.90045285,0.5045729
0002.png,0.76603574,pneumonia,0.54692113,0.53392553,0.37257627,0.54402757,0.012093697,0.32266295,0.19912948,0.6018064,0.021677127,0.12526579,0.5490118,0.2722444,0.5105516,0.0162286,0.2141881,0.34149596,0.76603574,0.53542536
0003.png,0.59503317,pneumonia,0.015040939,0.16334668,0.18936075,0.5018226,4.1325084e-06,0.04438525,0.08197827,0.052058738,6.314947e-06,0.054167155,0.003361432,0.06184188,0.26203087,0.0014978428,0.00027884488,0.03947109,0.59503317,0.028266277
0004.png,0.9617002,pneumonia,0.3567269,0.5035531,0.5039052,0.546203,0.00018035462,0.006071434,0.07324543,0.4180522,1.1888187e-05,0.14751184,0.1749807,0.41997293,0.5477499,0.0057687857,0.007668695,0.23607485,0.9617002,0.36297613
0005.png,0.8588897,pneumonia,0.20281152,0.28875595,0.42258018,0.5504608,7.5880045e-05,0.0008179317,0.0036857491,0.040136453,5.3578766e-05,0.004306513,0.17673397,0.15763305,0.52400887,0.0009633437,0.0037998138,0.09783293,0.8588897,0.100344874
0006.png,0.88635767,pneumonia,0.19668432,0.23706625,0.41794935,0.5485939,5.4352826e-05,0.00080130267,0.0038590576,0.04713308,1.0286103e-05,0.010293648,0.17457141,0.48860112,0.53840315,0.003087522,0.0044995258,0.20164943,0.88635767,0.11411899
0007.png,0.6014087,pneumonia,0.014553474,0.18659452,0.2567233,0.5190817,1.6588949e-06,0.0021708286,0.003957938,0.024224082,0.00010342304,0.0031340735,0.009741824,0.030164717,0.29063234,8.111014e-05,0.000500443,0.013646296,0.6014087,0.067823455
0008.png,0.85033846,pneumonia,0.34966564,0.22326422,0.50694805,0.60828924,0.00010625606,0.0067449203,0.011418227,0.14377493,0.00027263619,0.008931232,0.183355,0.15669665,0.51436067,0.0025604356,0.022243055,0.10551633,0.85033846,0.18068738
0009.png,0.8823325,pneumonia,0.13529265,0.48387,0.4312511,0.5176277,0.00010604398,0.021078758,0.0839596,0.14534423,0.00017591496,0.048350822,0.07503379,0.2186227,0.5399463,0.00030591674,0.11076191,0.079132944,0.8823325,0.51468194
0010.png,0.7133053,pneumonia,0.0183749,0.10437812,0.20352682,0.5022768,5.267904e-07,0.024604168,0.029957984,0.09071036,1.1088898e-07,0.031657107,0.00219831,0.06732487,0.53579783,0.0033164844,0.00010171641,0.056835297,0.7133053,0.029853996
0011.png,0.8935905,pneumonia,0.5099963,0.5020233,0.5168794,0.5271771,0.003590437,0.0321908,0.13484716,0.4327644,6.803646e-05,0.44437897,0.365242,0.5060112,0.562567,0.120720245,0.012622546,0.42259225,0.8935905,0.2977929
